ticker,cik,company,sic_code,sic_description,target_sector
NVDA,0001045810,NVIDIA CORP,3674,Semiconductors & Related Devices,Industrials
AAPL,0000320193,Apple Inc.,3571,Electronic Computers,Technology
GOOGL,0001652044,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",Technology
MSFT,0000789019,MICROSOFT CORP,7372,Services-Prepackaged Software,Technology
AMZN,0001018724,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,Retail
AVGO,0001730168,Broadcom Inc.,3674,Semiconductors & Related Devices,Industrials
META,0001326801,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",Technology
TSLA,0001318605,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,Industrials
MU,0000723125,MICRON TECHNOLOGY INC,3674,Semiconductors & Related Devices,Industrials
BRK-B,0001067983,BERKSHIRE HATHAWAY INC,6331,"Fire, Marine & Casualty Insurance",Other / Financial / Services
LLY,0000059478,ELI LILLY & Co,2834,Pharmaceutical Preparations,Healthcare
AMD,0000002488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,Industrials
WMT,0000104169,Walmart Inc.,5331,Retail-Variety Stores,Retail
JPM,0000019617,JPMORGAN CHASE & CO,6021,National Commercial Banks,Other / Financial / Services
ASML,0000937966,ASML HOLDING NV,3559,"Special Industry Machinery, NEC",Industrials
V,0001403161,VISA INC.,7389,"Services-Business Services, NEC",Other / Financial / Services
JNJ,0000200406,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations,Healthcare
XOM,0002115436,ExxonMobil Holdings Corp,2911,Petroleum Refining,Energy
INTC,0000050863,INTEL CORP,3674,Semiconductors & Related Devices,Industrials
AMAT,0000006951,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices,Industrials
CSCO,0000858877,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,Technology
MA,0001141391,Mastercard Inc,7389,"Services-Business Services, NEC",Other / Financial / Services
LRCX,0000707549,LAM RESEARCH CORP,3559,"Special Industry Machinery, NEC",Industrials
CAT,0000018230,CATERPILLAR INC,3531,Construction Machinery & Equip,Industrials
ABBV,0001551152,AbbVie Inc.,2834,Pharmaceutical Preparations,Healthcare
BAC,0000070858,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks,Other / Financial / Services
ORCL,0001341439,ORACLE CORP,7372,Services-Prepackaged Software,Technology
COST,0000909832,COSTCO WHOLESALE CORP /NEW,5331,Retail-Variety Stores,Retail
UNH,0000731766,UNITEDHEALTH GROUP INC,6324,Hospital & Medical Service Plans,Other / Financial / Services
